Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_S,Att_S,Cmp%_S,Cmp_M,Att_M,Cmp%_M,Cmp_L,Att_L,Cmp%_L,Ast,KP,pass13,PPA,CrsPA,Prog
1,Ismael Aaneba\Ismael-Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,80,122,65.6,1603,786,0,5,0,63,88,71.6,17,29,58.6,0,1,6,2,2,22
2,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,1587,1962,80.9,26851,11857,23,50,46,1333,1543,86.4,231,369,62.6,2,34,115,63,9,292
3,Ignazio Abate\Ignazio-Abate,it ITA,DF,Milan,it Serie A,31,1986,14.5,766,918,83.4,14840,5802,7,25,28,575,626,91.9,184,267,68.9,0,7,73,13,4,112
4,Issah Abbas\Issah-Abbas,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,0.1,1,2,50,32,9,0,0,,0,1,0,1,1,100,0,0,0,0,0,0
5,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38,1318,1576,83.6,30166,10127,5,25,20,833,933,89.3,480,618,77.7,0,3,51,3,0,66
6,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,22.5,919,1081,85,17137,3889,18,29,62.1,705,782,90.2,196,270,72.6,0,23,87,11,2,82
7,Charles Abi\Charles-Abi,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,18,2000,0.4,6,16,37.5,58,15,0,2,0,6,11,54.5,0,3,0,0,0,0,2,0,2
8,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,520,671,77.5,12124,4564,4,13,30.8,321,380,84.5,195,278,70.1,0,3,58,7,3,72
9,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,8.8,333,384,86.7,5636,968,4,14,28.6,278,309,90,51,61,83.6,0,2,22,1,0,16
10,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,36.8,1554,1787,87,33525,10694,14,23,60.9,1057,1158,91.3,483,606,79.7,1,8,112,6,2,103
11,Afriyie Acquah\Afriyie-Acquah,gh GHA,MF,Empoli,it Serie A,26,1992,16.8,591,735,80.4,10181,2575,3,24,12.5,498,560,88.9,90,151,59.6,0,11,64,14,3,67
12,Tyler Adams\Tyler-Adams,us USA,MF,RB Leipzig,de Bundesliga,19,1999,8,416,516,80.6,6997,2224,6,18,33.3,346,412,84,64,86,74.4,2,5,49,4,0,53
13,Antonio Adán\Antonio-Adan,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1,12,24,50,369,247,0,0,,5,5,100,7,19,36.8,0,0,0,0,0,0
14,Aday\Aday,es ESP,DFMF,Girona,es La Liga,30,1987,7.2,230,325,70.8,4875,1724,6,14,42.9,153,178,86,71,133,53.4,2,14,8,10,10,40
15,Khaled Adénon\Khaled-Adenon,bj BEN,DF,Amiens,fr Ligue 1,33,1985,22.2,842,967,87.1,19080,6527,7,12,58.3,534,584,91.4,301,371,81.1,0,3,62,4,0,67
16,Claud Adjapong\Claud-Adjapong,it ITA,MFDF,Sassuolo,it Serie A,20,1998,3,77,101,76.2,1199,378,2,10,20,64,75,85.3,11,16,68.8,0,2,2,3,0,11
