Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,Dr_Succ,Dr_Att,Dr_Succ%,Num_DrPast,Megs,Carries,Cr_TotDist,Cr_PrgDist,Targ,Rec,Rec%,Miscon,Dispos
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26,1990,24.3,1369,83,448,578,437,39,1148,17,26,65.4,20,0,767,4832,2651,765,709,92.7,23,17
2,Rolando Aarons\Rolando-Aarons,eng ENG,FWMF,Newcastle Utd,eng Premier League,21,1995,1.5,68,0,14,33,27,3,68,2,3,66.7,2,0,48,328,225,59,39,66.1,4,5
3,Rolando Aarons\Rolando-Aarons,eng ENG,MFFW,Hellas Verona,it Serie A,21,1995,5.7,173,2,20,82,87,7,167,9,18,50,11,0,136,993,583,212,126,59.4,10,15
4,Ignazio Abate\Ignazio-Abate,it ITA,DF,Milan,it Serie A,30,1986,11.7,870,40,231,464,226,12,757,1,5,20,2,0,552,2524,1494,605,565,93.4,3,6
5,Aymen Abdennour\Aymen-Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27,1989,5.6,359,34,224,160,5,2,358,1,1,100,1,0,269,1840,762,267,259,97,0,0
6,Aly Abeid\Aly-Abeid,mr MTN,DF,Levante,es La Liga,19,1997,0.8,46,3,20,19,11,0,39,0,0,,0,0,25,144,95,21,20,95.2,1,0
7,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Dijon,fr Ligue 1,24,1992,13.1,762,30,257,453,129,16,749,11,22,50,13,1,551,3788,1785,537,493,91.8,14,17
8,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,25.6,1560,151,830,844,42,12,1525,13,14,92.9,13,0,955,6200,3493,903,889,98.4,5,6
9,Tammy Abraham\Tammy-Abraham,eng ENG,FWMF,Swansea City,eng Premier League,19,1997,19.2,535,11,42,246,275,72,516,26,45,57.8,27,0,368,2413,1041,691,392,56.7,60,35
10,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,27,1990,9.4,471,28,122,288,80,9,467,5,11,45.5,7,0,277,1277,553,266,230,86.5,9,14
11,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Sassuolo,it Serie A,29,1988,38,2090,332,1100,959,156,26,1995,15,20,75,16,0,1150,7603,3311,1047,1004,95.9,19,13
12,Afriyie Acquah\Afriyie-Acquah,gh GHA,MF,Torino,it Serie A,25,1992,10.6,573,11,101,398,127,6,568,14,22,63.6,15,0,449,3124,1561,435,406,93.3,8,18
13,Charlie Adam\Charlie-Adam,sco SCO,MF,Stoke City,eng Premier League,31,1985,4.6,330,10,63,205,93,5,305,7,8,87.5,7,1,216,1255,561,222,205,92.3,6,3
