Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,3,26,5,19.2,0.93,0.18,0.08,0.4,3,1,1
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36,0,14,4,28.6,0.39,0.11,0,0,0,0,0
3,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28,3,19,5,26.3,0.68,0.18,0.16,0.6,0,0,0
4,Suleiman Abdullahi\Suleiman-Abdullahi,ng NGA,FWMF,Union Berlin,de Bundesliga,22,1996,1.7,1,6,3,50,3.44,1.72,0.17,0.33,0,0,0
5,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,1,33,7,21.2,1.63,0.35,0.03,0.14,3,0,0
6,Charles Abi\Charles-Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,0,5,0,0,0.72,0,0,,0,0,0
7,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,2,7,4,57.1,0.37,0.21,0.29,0.5,0,0,0
8,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,15,88,35,39.8,3.58,1.42,0.17,0.43,0,0,0
9,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,0,5,2,40,0.68,0.27,0,0,0,0,0
10,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,2,17,7,41.2,0.48,0.2,0.12,0.29,0,0,0
11,Che Adams\Che-Adams,eng ENG,FW,Southampton,eng Premier League,23,1996,12.3,4,37,9,24.3,3,0.73,0.11,0.44,0,0,0
12,Tyler Adams\Tyler-Adams,us USA,DFMF,RB Leipzig,de Bundesliga,20,1999,10.6,0,7,1,14.3,0.66,0.09,0,0,0,0,0
13,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,26,1993,8.3,5,20,10,50,2.41,1.21,0.25,0.5,0,0,0
14,Antonio Adán\Antonio-Adan,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,0,0,0,,0,0,,,0,0,0
15,Bobby Adekanye\Bobby-Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,2.1,1,5,4,80,2.39,1.91,0.2,0.25,0,0,0
16,Claud Adjapong\Claud-Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,0,3,1,33.3,1.17,0.39,0,0,0,0,0
17,Amine Adli\Amine-Adli,fr FRA,MFFW,Toulouse,fr Ligue 1,19,2000,0.5,0,0,0,,0,0,,,0,0,0
18,Yacine Adli\Yacine-Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,19,2000,11.3,3,18,6,33.3,1.59,0.53,0.17,0.5,1,0,0
19,Adrián\Adrian,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,0,0,0,,0,0,,,0,0,0
20,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,es La Liga,38,1981,2.3,1,6,3,50,2.6,1.3,0.17,0.33,0,0,1
21,Lumor Agbenyenu\Lumor-Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,1,14,2,14.3,0.7,0.1,0.07,0.5,0,0,0
22,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,1,3,1,33.3,0.13,0.04,0.33,1,0,0,0
23,Lucien Agoume\Lucien-Agoume,fr FRA,MF,Inter,it Serie A,17,2002,0.8,0,0,0,,0,0,,,0,0,0
24,Kevin Agudelo\Kevin-Agudelo,co COL,MFFW,Fiorentina,it Serie A,20,1998,0.7,0,4,0,0,5.63,0,0,,0,0,0
25,Kevin Agudelo\Kevin-Agudelo,co COL,MFFW,Genoa,it Serie A,20,1998,7.4,1,10,2,20,1.35,0.27,0.1,0.5,0,0,0
26,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,1,5,1,20,0.47,0.09,0.2,1,1,0,0
27,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,31,1988,16.1,16,73,25,34.2,4.52,1.55,0.19,0.56,0,2,3
28,Ruben Aguilar\Ruben-Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,0,7,3,42.9,0.59,0.25,0,0,0,0,0
29,Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu,gh GHA,MFFW,Hellas Verona,it Serie A,28,1990,2.6,0,0,0,,0,0,,,0,0,0
30,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7,1,10,4,40,1.43,0.57,0.1,0.25,0,0,0
31,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,0,10,1,10,0.36,0.04,0,0,0,0,0
32,Ola Aina\Ola-Aina,ng NGA,DF,Torino,it Serie A,22,1996,23.1,0,12,2,16.7,0.52,0.09,0,0,0,0,0
33,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6,0,2,0,0,0.34,0,0,,0,0,0
34,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,14.2,0,4,0,0,0.28,0,0,,0,0,0
35,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,eng Premier League,22,1997,1.5,0,3,0,0,1.94,0,0,,0,0,0
36,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,22.9,8,44,18,40.9,1.92,0.79,0.16,0.39,0,1,1
37,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,0,10,2,20,0.39,0.08,0,0,0,0,0
38,Marley Aké\Marley-Ake,fr FRA,FWMF,Marseille,fr Ligue 1,18,2001,1.1,0,3,0,0,2.73,0,0,,0,0,0
39,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,2,24,7,29.2,0.86,0.25,0.08,0.29,0,0,0
