Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
1,Ismael Aaneba\Ismael-Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,3,3,204,0,0,0,0,3,0
2,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,36,36,3195,3,2,0,0,3,0
3,Ignazio Abate\Ignazio-Abate,it ITA,DF,Milan,it Serie A,31,1986,19,15,1302,0,0,0,0,4,0
4,Issah Abbas\Issah-Abbas,gh GHA,FW,Mainz 05,de Bundesliga,19,1998,1,0,9,0,0,0,0,0,0
5,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38,38,3420,0,0,0,0,2,0
6,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,26,23,2023,3,0,1,1,6,0
7,Charles Abi\Charles-Abi,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,18,2000,3,0,32,0,0,0,0,0,0
8,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,17,17,1420,0,0,0,0,2,0
9,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,10,9,790,0,0,0,0,5,0
10,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,37,37,3309,3,1,0,0,4,1
11,Afriyie Acquah\Afriyie-Acquah,gh GHA,MF,Empoli,it Serie A,26,1992,28,19,1510,2,0,0,0,4,0
12,Tyler Adams\Tyler-Adams,us USA,MF,RB Leipzig,de Bundesliga,19,1999,10,8,721,0,2,0,0,0,0
13,Antonio Adán\Antonio-Adan,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1,1,90,0,0,0,0,1,0
14,Aday\Aday,es ESP,DFMF,Girona,es La Liga,30,1987,10,8,645,0,2,0,0,2,0
15,Khaled Adénon\Khaled-Adenon,bj BEN,DF,Amiens,fr Ligue 1,33,1985,23,22,1994,0,0,0,0,7,1
16,Claud Adjapong\Claud-Adjapong,it ITA,MFDF,Sassuolo,it Serie A,20,1998,5,3,270,1,0,0,0,1,0
17,Yacine Adli\Yacine-Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,18,2000,7,2,216,0,0,0,0,1,0
18,Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,MFDF,Atalanta,it Serie A,24,1993,3,2,166,0,0,0,0,0,0
19,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,es La Liga,37,1981,20,10,943,2,0,2,2,5,0
20,Luis Advíncula\Luis-Advincula,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,28,27,2389,1,3,0,0,6,2
21,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,es La Liga,22,1996,27,23,2032,0,0,0,0,4,0
22,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,1996,13,12,1050,3,0,0,0,4,1
23,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,30,1988,33,31,2459,21,8,2,2,4,0
24,Ruben Aguilar\Ruben-Aguilar,fr FRA,DFMF,Montpellier,fr Ligue 1,25,1993,29,29,2528,1,4,0,0,8,0
25,Juan Aguilera\Juan-Aguilera,es ESP,MF,Huesca,es La Liga,32,1985,6,4,344,0,0,0,0,1,0
26,Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,27,1990,4,2,161,0,0,0,0,0,0
27,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Monaco,fr Ligue 1,24,1994,17,12,1075,0,1,0,0,2,0
28,Antonis Aidonis\Antonis-Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,2001,2,1,80,0,0,0,0,1,0
29,Ola Aina\Ola-Aina,ng NGA,DFMF,Torino,it Serie A,21,1996,30,22,2160,1,3,0,0,5,1
30,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Saint-Étienne,fr Ligue 1,22,1996,13,11,936,0,0,0,0,0,0
31,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Monaco,fr Ligue 1,22,1996,13,12,1073,0,2,0,0,2,0
32,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,17,2001,3,0,57,0,0,0,0,1,0
33,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,24,1994,25,18,1531,9,1,0,0,5,0
34,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,1995,25,25,2205,1,0,0,0,1,0
35,Carlos Akapo\Carlos-Akapo,gq EQG,DF,Huesca,es La Liga,25,1993,13,12,1023,0,0,0,0,2,0
