Player,Age,Pos,Comp,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Sh,SoT,FK,TotDist,PrgDist,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,KP,pass13,PPA,CrsPA,Prog,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD,Past_VD,Press_Succ,P_D3,P_M3,P_A3,Sh_Blk,ShSv,Pass_Blk,Clr,Err,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,Dr_Succ,Dr_Att,Num_DrPast,Megs,Carries,Cr_TotDist,Cr_PrgDist,Targ,Rec,Miscon,Dispos,Fls,PKwon,PKcon,Recov,AD_Won,AD_Lost,Game,overall
Aaron Cresswell,27.0,DF,Premier League,36,35,3069,1,3,0,0,7,0,20.0,6.0,7.0,23141.0,10252.0,15.0,59.0,900.0,1062.0,276.0,582.0,39.0,125.0,21.0,12.0,180.0,14.0,13.0,17.0,6.0,15.0,14.0,105.0,203.0,117.0,38.0,15.0,0.0,35.0,78.0,1.0,121.0,626.0,897.0,573.0,19.0,1665.0,6.0,16.0,10.0,1.0,1112.0,5856.0,2860.0,1137.0,1077.0,18.0,17.0,20,0.0,0.0,318.0,37.0,30.0,FIFA 19,74
Aaron Hunt,30.0,MF,Bundesliga,28,26,2081,3,2,1,1,1,0,27.0,6.0,10.0,16889.0,5315.0,20.0,70.0,629.0,755.0,234.0,404.0,65.0,83.0,31.0,5.0,172.0,22.0,12.0,16.0,2.0,5.0,32.0,135.0,102.0,261.0,121.0,2.0,0.0,28.0,21.0,0.0,28.0,150.0,727.0,684.0,68.0,1225.0,21.0,36.0,23.0,4.0,892.0,5186.0,2336.0,1176.0,893.0,45.0,42.0,27,0.0,0.0,213.0,22.0,37.0,FIFA 19,76
Aaron Lennon,30.0,MF,Premier League,29,22,1911,0,2,0,0,2,0,14.0,5.0,0.0,5564.0,1501.0,5.0,41.0,306.0,396.0,39.0,71.0,13.0,21.0,12.0,3.0,43.0,21.0,15.0,16.0,4.0,10.0,27.0,73.0,125.0,157.0,71.0,6.0,0.0,37.0,17.0,0.0,24.0,130.0,284.0,358.0,57.0,715.0,21.0,41.0,24.0,2.0,496.0,3254.0,1936.0,593.0,455.0,19.0,33.0,21,2.0,0.0,118.0,3.0,7.0,FIFA 19,77
Aaron Mooy,26.0,MF,Premier League,36,34,3067,4,3,1,1,4,0,29.0,6.0,3.0,27943.0,7847.0,40.0,108.0,1186.0,1391.0,321.0,571.0,49.0,159.0,25.0,9.0,209.0,40.0,32.0,38.0,11.0,27.0,44.0,145.0,168.0,293.0,97.0,4.0,0.0,54.0,41.0,0.0,49.0,439.0,1312.0,847.0,36.0,2272.0,16.0,28.0,17.0,0.0,1556.0,8912.0,3509.0,1634.0,1500.0,37.0,55.0,26,0.0,0.0,456.0,16.0,22.0,FIFA 19,79
Aaron Ramsey,26.0,MF,Premier League,24,21,1846,7,8,0,0,0,0,54.0,23.0,0.0,18239.0,4405.0,26.0,60.0,830.0,940.0,178.0,246.0,29.0,108.0,37.0,2.0,118.0,22.0,17.0,14.0,2.0,5.0,31.0,90.0,65.0,157.0,85.0,3.0,0.0,17.0,6.0,0.0,21.0,214.0,769.0,628.0,107.0,1468.0,22.0,31.0,25.0,1.0,1139.0,7210.0,3456.0,1302.0,1174.0,44.0,30.0,28,1.0,0.0,166.0,5.0,8.0,FIFA 19,82
Aaron Wan-Bissaka,19.0,DF,Premier League,7,7,627,0,0,0,0,1,0,0.0,0.0,0.0,3007.0,1723.0,6.0,16.0,152.0,203.0,27.0,57.0,3.0,15.0,5.0,3.0,35.0,11.0,19.0,3.0,3.0,5.0,3.0,26.0,57.0,21.0,7.0,8.0,0.0,28.0,25.0,0.0,42.0,170.0,160.0,96.0,1.0,339.0,8.0,11.0,9.0,0.0,187.0,1487.0,929.0,174.0,162.0,5.0,6.0,2,0.0,0.0,57.0,4.0,4.0,FIFA 19,70
Abdelhamid Sabiri,20.0,MF,Premier League,5,2,220,0,1,0,0,1,0,6.0,0.0,0.0,892.0,276.0,3.0,6.0,44.0,64.0,10.0,18.0,2.0,11.0,2.0,1.0,7.0,2.0,1.0,1.0,2.0,2.0,5.0,10.0,6.0,16.0,15.0,0.0,0.0,3.0,1.0,0.0,2.0,15.0,61.0,51.0,7.0,119.0,1.0,3.0,1.0,0.0,71.0,381.0,184.0,115.0,86.0,6.0,3.0,4,0.0,0.0,17.0,7.0,8.0,FIFA 19,64
Abdou Diallo,21.0,DF,Bundesliga,27,27,2415,2,1,0,0,5,0,13.0,3.0,0.0,19674.0,8948.0,12.0,36.0,621.0,734.0,272.0,431.0,6.0,80.0,20.0,7.0,142.0,42.0,38.0,22.0,3.0,19.0,12.0,145.0,219.0,109.0,21.0,14.0,0.0,32.0,107.0,0.0,118.0,681.0,768.0,159.0,24.0,1390.0,35.0,47.0,38.0,3.0,865.0,5737.0,3337.0,841.0,800.0,17.0,17.0,59,0.0,1.0,310.0,72.0,28.0,FIFA 19,78
Abdoulaye Bamba,27.0,DF,Ligue 1,18,17,1533,0,0,0,0,2,0,4.0,1.0,0.0,10272.0,4933.0,7.0,32.0,537.0,607.0,77.0,171.0,6.0,43.0,5.0,2.0,89.0,9.0,16.0,3.0,1.0,9.0,10.0,51.0,94.0,33.0,13.0,1.0,0.0,25.0,30.0,0.0,41.0,326.0,469.0,195.0,3.0,781.0,12.0,17.0,12.0,0.0,546.0,2926.0,1680.0,542.0,512.0,16.0,9.0,19,0.0,1.0,155.0,7.0,4.0,FIFA 19,71
Abdoulaye Doucouré,24.0,MF,Premier League,37,37,3324,7,3,0,0,10,0,49.0,18.0,0.0,34974.0,8178.0,25.0,74.0,1433.0,1654.0,410.0,531.0,39.0,168.0,37.0,3.0,172.0,41.0,29.0,31.0,5.0,17.0,53.0,172.0,240.0,307.0,96.0,9.0,1.0,52.0,41.0,2.0,93.0,672.0,1486.0,693.0,70.0,2605.0,30.0,50.0,37.0,1.0,1815.0,10821.0,5716.0,1808.0,1681.0,39.0,38.0,44,0.0,1.0,597.0,24.0,29.0,FIFA 19,81
